title,content,
Incredible - perfect,"We have traveled internationally many places in fine hotels; this hotel was of gréât delight. It was friendly yet respectful. Quite beautiful, yet not imposing. It was impeccably clean. This is a refined experience that was a delight. The Olympic Games museum is very near, a delightful walking promenade next to the lake is immediately accessible from the hotel. There were several restaurants which we enjoyed. The food in the Cafe beau-rivage was special and well done. Enjoy!",
Outstanding stay at this jewel of a hotel.,"Beautiful hotel in a gorgeous setting. Outstanding accommodations with warm and attentive staff always ready to answer your questions, provide information about the surrounding area and address your needs. Pool facilities are outstanding. The location is beside the Olympic Museum and a lovely drive along Lake Geneva to other attractions of the area (highly recommend a wine walk / tour and Charlie Chaplin’s Museum). The hotel is a short walk to a metro to the main town.",
Ultimate Swissness,"An unforgettable experience in a quiet and refined environment. What a romantic retreat with delicate and discrete staff, breathtaking views on the Leman Lake and Alps mountains. Fully renovated and well maintained Hotel with great Spa and swimming pools. The highlight was definitely the Michelin star restaurant (Anne-Sophie Pic@BRP). We ll be back for sure",
Paradise in Switzerland,"Just left the Beau Rivage on our first trip to Switzerland. The room was fabulous and the view was one of the best we ever had. The service and staff were very helpful on taking care of all our needs, and planning all our activities. Unfortunately it was raining a lot so we couldn’t play golf but we’re able to change all our plans easily. The location is perfect as you can pick up the boat right next door or jump on the Metro to go into Laussane. Breakfast was great and I would highly recommend staying there, it doesn’t get much better.",
5 stars palace well deserved,"Faultless as usual , outstanding for everything. From the staff to the spa, the outdoor bar. Just a tiny bit disappointed by the Japanese restaurant that used to be a bit better but just to be picky. Otherwise a true palace in an outstanding building",
"Excellent, but far from perfect","We had a memorable stay in a lovely hotel. The quality of the decor matches the well executed blend of old and new in the two parts of the hotel. And our bedroom was lovely, restful and well equipped (though the shower unit was old, tired and in need of upgrading). The spa at first sight looks wonderful as do changing rooms and surrounding areas. But, they are not well looked after. For example, the men's steam room is suffers from two big flaws - the upper level is not hot and the lower level is not even warm. And, the few staff were absent and therefore were not available to help guests around the outdoor pool area snd in the ladies' changing rooms and surrounding areas the floors had been allowed to remain wet and slippery, and this led to an unfortunate accident. Our",
une expérience exceptionnelle,"Nothing will ever match the emotional intensity I felt of being surrounded by my favourite restaurant staff at the Cafe Beau Rivage last summer and discovering that the magical ingredients of efficient charm and fabulous cooking was intact untrammelled by the events of 2020. Nevertheless my experience this year was, unbelieveably, better. From the moment of my check in by the delightfull young lady to the the gracious young man who provided water as I began my onward journey and everyone in between I was once again taken by the Beau Rivage Embrace. Politeness and respect are etched in to the teams DNA. This time I used the spa for treatments. The environment is state of art offering quiet tranquilty before you even start your journey, Beau Rivage have wisely invested",
Perfection,"If there is a better hotel to stay in for a vacation, I haven't found it. The Beau-Rivage Palace was perfection. The friendly staff, wonderful concierge service (hello Sylvie), delicious restaurants, beautiful room with wicker furniture on our lanai overlooking the lake and the French Alps. We chose the Palace side rooms, taking a Junior Suite with cream painted walls a lovely fruit plate that was refreshed every day, not to mention the champagne. Big beautiful bathroom. And the views from the room on the 4th floor were stupendous. We ate at both the Japanese restaurant (lovely alternatives to sushi--tempura shrimp, black cod with stir fried vegetables, as well as the French cafe with a fabulous choice, including crabmeat stuffed zucchini flowers which I had to have twice",
Beautiful and comfortable!,Beautiful and comfortable hotel in a wonderful setting in front of Lake Leman in Lausanne. We appreciated the pool facilities and Spa. Courteous staff and amazing suites. We suggest including a coffeemaker in the room. World class restaurants and very well maintained gardens and structure. We will definitively come again!,
First class hotal,"This was the best hotel that i have experienced. The location was fabulous on Lake Geneva. We quickly realized that if we thought something was missing from the room that we just needed to look a little bit further. We did not have adapters for the J electric plugs but sure enough, they were in the desk drawer. The decor is classy but not in your face and is just plain inviting. The service was second to none. We needed some bubble wrap for some gifts and they gave it to us in record time. We used Lausanne as a jumping off point to visit Evian, Geneva, Annecy. After a lot of sightseeing, we came back to the infinity pool in the evening around seven. From the pool, you can see the mountains painted by the sun as it goes down. The lounges near the pool are so comfortable.",
One of the best hotels is the world,"Spectacular views, historic building greatly refurbished rooms with taste, large choice of restaurants. The gril and the café are fantastic. Allen the concierge is very experienced and helpful. Many places in the are to visit vineyards, Montreux, Geneva",
Fabulous hotel,"What a spectacular hotel - the rooms have every imaginable luxury - the beds and their comforters are super comfortable- the rooms are always being restocked with fresh flower arrangements. Kind and attentive staff, great spa, modern fully equipped exercise room, wonderful breakfast buffet. Sushi restaurant on property was our favorite.",
Fantastic,Great hotel with fantastic service. From the arrival to the departure the experience was just perfect. The facilities themselves are very well maintained and the overall feeling is just great. A true gem of Swiss hospitality which makes you feel both on holiday and home away from home.,
Wedding Anniversary,"We have stayed for two days and loved everything: the beautiful location, the room service, the breakfast buffet, the Spa. All the staff has been very kind. They made our Wedding Anniversary really special. Thank you very much for your effort and kindness.",
Beau Rivage Palace — a luxurious stay overlooking beautiful Lake Geneva and the mountains,"My room was spacious, beautiful and so comfortable. I loved the closet space and the big bathroom with double sink, separate bathtub and shower with aromatherapy pods, and the toilet space with frosted glass door to separate it from the rest of the bathroom. And the large bathroom mirror with built in television screen was fabulous! Staff is friendly and so helpful and room service and housekeeping great. Everything was perfect. I wish I could have stayed longer.",
Horrible stay,"Room is terrible , no bed sheets, curtains which let the outside lights, terrible night. I don’t understand the value proposition of this hotel . Garden and terrace are nice but for the price you pay … it is not understandable that you don’t have the basic of hospitality",
"Tranquil, Private and very pleasant staff","Fantastic service, amazing hotel on huge grounds. Staff are very friendly and always helpful. Breakfast is in a large area with great views of the lake. It was raining so could not sit on the terrace. Very private hotel which is nice. I would stay here again",
Hospitality like you would like to offer your guests at home!,"I once more stayed at the Beau Rivage and like every time before, it was a grandiose expereince starting with the welcoming by name by the porter at the entrance to a smooth check in and the perfect room with fresh flowers and a great view across the lake. Food for dinner parallels the quality and finesse of the accomodation. ",
Our first and most definitely not our last stay,"A first class experience which you pay for but they deliver in spade fulls. Excellent reception desk, helpful and friendly personnel. Friendly door men. Lovely room, a deluxe with lake view. Well maintained, excellent housekeeping, beautiful lake views, small balcony- lovely. Another mention of reception who were incredibly helpful and knowledgeable when I ran into problems on our last day, trying to submit the UK passenger locator form. They solved the problem, thank you! We dined in the Beau Rivage Cafe, lovely food, professional service, pleasant ambiance. We also had drinks on a number of occasions in the main bar where the staff were quite excellent. I have nothing but praise for this hotel. Thank you for a lovely stay.",
Exceptional,"This is a true 5 star hotel . In fact , I have been to a few 5 stars hotel in my life but I have never lived such magical experience. It was a budget for us that we don’t regret as we will remember this time fondly . Everything was faultless and beyond any expectations we had .",
The palace experience,"Entering you feel immediately as though you are royalty, the palace is beautiful and the decorations are stunning, especially at Christmas. Thé breakfast was delightful, the lake view gorgeous, the beds extremely comfortable and many well thought-out activities for kids. I highly recommend a visit here.",
Our #1 hotel in French speaking Switzerland,Our favourite hotel in all of French Speaking Switzerland. This is now a third trip here and every occasion is magical. It’s a haven of peace and calm. Head to the CAFE and Qamil Will ensure you have a memorable experience. He even remembers from a trip eight months ago! You can’t teach this sort of attention to detail. It comes from passion. Amazing beef tartare and fillets de perche from the lake. The lounge is also a great place to hang out for a cocktail and if you have the occasion this winter do go out into the champagne tent. We’ve done at Ana Sophie Pic twice previously and considering perhaps the best restaurants we visited on Earth and we have been to 11 Madison. On this occasion we couldn’t eat at Anne-Sophie as it was closed due to several staff getting,
It is the best!,"Very good but a little old fashioned.so my rating is: excellent here is more stuff from me: you guys could add more food to the buffet!! also add some tech like radios, and all of that. your hotel is very good oh and more security my father’s phone got stolen and it is a iPhone 13 pro max!!!",
It doesn’t get better,"I’ve been coming to the hotel for 45 years (!!!) and while many hotels have fallen in terms of service, the Beau Rivage stands out for still maintaining its old world service! From arrival to departure, every care is provided. The rooms of the lake are calming, the concierge, Alllan, can make everything possible with no challenge too big. This has been a home away from home for me when I come to Switzerland, and it remains so. The rooms are smalls but very well done, with lovely bathrooms. The only thing missing is they stopped putting a piece of Swiss chocolate on your pillow during turndown service. A wonderful location on the lake that is the most special party of Lausanne, and 3 minutes from the city center either by taxi or the tram which is a 2 minute walk away (and super",
A bit rusty at the palace.,"This is the first time that I was disappointed at this property. Unbeknownst to us, the hotel is in construction. Half of the rooms, original lobby, gift shop are not available. Room prices are higher than we have ever paid. In our experience staff in a leading hotel of the world have always been proficient in English. I had problems communicating in French in the breakfast room, room service, the pool are and the spa. Our room was above the service entrance and starting very early in the morning we could hear trucks making deliveries. For a room price of SF 780.00 I do not expect these annoyances. The plus side to our experience was the beautiful gardens and the sparkling pool. The location could not be better for walks along the lake.",
A Perfect Marriage of Superb Execution & Charming Service.,"To return to the Beau Rivage after an absence of two years and experience the same perfect blend of efficient service, exquisite food offerings in elegant surroundings warms the heart. Indeed the food offerings had moved up a notch and were that much more powerful and exciting. What makes the Beau Rivage special though is a simple human trait. It is the provision of hospitality with the perfect blend of charm, sophistication and good manners and whether it is the increasing use of technology or health care protocols that essence of the place is never distilled or reduced or diverted as a result of current circumstances whatever they maybe. As I grow older I value the experience more than ever and I feel sure that when I return those qualities which are written into the DNA",
Paradise in Switzerland,"Due to Corona we (from Switzerland) decided…not to go to Ibiza…not to fly to Sardinia this year…but to spend some days at the Beau Rivage in Lausanne. And it was beautiful!!!! Off topic at the beginning of this review: we felt very very save all the time, they really do as much as possible to avoid ANY SARS-COV2 infection. I am a doctor and by my profession maybe a bit more critical than the average visitor and felt save all the time. We experienced a very warm welcome at check-in. Beautiful room, quiet, a dream. I really must say, all the stuff we met was so friendly, there was no second we did not feel like in paradise. Breakfast was amazing, dinner at the Japanese restaurant, pool, garden, lounge, really nothing to complain. Thank you very much for the most beautiful days me",
Wonderful Anniversary Stay,"When you go to a hotel of the quality and reputation of the Beau-Rivage Palace, you expect a good experience and good service. Therefore it takes something special for one’s expectations to be exceeded. But certainly they were. From the magnificence of the exterior of the building to the sumptuous decor inside, the visual aspect of the hotel is wonderful together with the mature picturesque gardens with the outlook to the lake. The actual room was very tastefully decorated and furnished which provided a very comfortable stay. The spa area too is a very relaxing and well equipped sanctuary from the bustle of life. On top of this the cuisine in both the Anne-Sophie Pic restaurant and the Japanese Miyako was outstanding and being able to watch the Teppanyaki chefs prepare the food",
Fabulous,"From A-Z this place is just fab. Front desk- so welcoming and efficient. Junior suite: among best I have ever seen. Service: wherever you go, people are just wonderful. Breakfast: outstanding. Property is beautiful, lovely outdoor pool. Gym: perfect. We will be back. ",
Wonderful place!,"This wonderful hotel is located on the shore of the lake in an absolutely beautiful landscape. We spent much time at the pool which is the best you can imagine. Food is just wonderful. Everything is well cared for and exactly what you would expect from this type of hotel. There is however, s significant draw-back: We were there in mid September for 2 nights. We were in the middle of a strong rise of corona-infections. Lausanne was at the center of a coronavirus-hotspot in Switerzland. And still, there was an open, unprotected breakfast buffet. In theory, everybody had to wear a mask. However, most guest forgot about that and served themselves, some of them sneezing and coughing. Personell is trained to be polite. Unfortunately, they are not trained to enforce hygienic measures.",
very relaxing short trip,very attentive staff that was very helpful throughout our stay. the amenities were in an immaculate state. The room was very clean and tastefully decorated Everything in the room including shower etc functioned as new ,
One of the best hotels in the world,"We stayed here in Jan 2020 for a couple of days as we embarked on a train tour around Switzerland. From the moment we stepped into the hotel, we were awestruck by the history of the place. The view was amazing, the room was very bright and airy, and the hospitality of all the staff truly set the hotel apart from others. Romina and Neva put smiles on our faces and remembered our preferences for coffee and breakfast in the mornings. We enjoyed our stay at the Beau-rivage Palace, and our only regret is that we didn't have the opportunity to stay longer!",
Excellent stay with very personalised service!,The best Hotel in Lausanne. We had our wedding night at the BRP and as we had stayed there before we knew it was the right hotel for the most special day. We were not disappointed. Thank you to all the hotel staff for an unforgettable experience!,
An oasis in an otherwise already beautiful region!,"How could you not give this hotel the very to rating? We stayed in a large junior suite with lake view and the weather was beautiful. This historic hotel must have been fully renovated not too many years ago. All the public areas are sublime and grand. A grand hotel in the truest sense of the word. The breakfast room is huge and the buffet perfectly set up and presented. We ate at three restaurants in the hotel during our stay (see my other reviews) and although service was impeccable at the Michelin starred restaurant, it was inadequate at the other two places. Still no reason to rate the hotel with anything less that with 5 points. It must be said that due to its pricing, the hotel caters first and foremost to an elitist crowd of which I am happy to say we are not part of. ",
Sets the standard - apart from breakfast,"Sublime stay during August at this lovely Swiss hotel on the shores of Lake Geneva. Clean, comfortable rooms, more pillows and towels than two people could possibly need contribute to the feeling of luxury and well being. Cafe Beau Rivage has an excellent and varied menu and should have a Michelin star. The only downside, in my opinion, was breakfast. Prior to Covid 19 it was mainly buffet with a served egg menu. Now some of the fruit is still help yourself and although some of it was laid out cling filmed, a lot of it wasn’t. The bread basket prior to Covid was placed on individual tables but now, totally inexplicably, is laid out buffet style. Surely a danger? This should be rethought and rearranged.",
