"hotelName","hotelId","title","content"
"Baur au Lac",,"Bullseye","“It gets no better”, the great Bowen, James, of this parish once intoned and, verily I say unto you, it doesn’t. I could be down to my last £1,000, I’d still stay in the BaL, I could be destitute and starving, indeed I probably am destitute and starving, and this would be one of the memories, Arsenal in 1989 would be higher, I admit, but this would be a memory that I would hold dear, that I would hold in my pantheon. The memory that I, an immodest Englishman of three score years, could deign to stay in what is, quite simply, the best hotel in the world. Full stop and I never mentioned Sepp Blatter."
"Baur au Lac",,"A most lovely family reunion at Baur au Lac","A family get-together was made extra special by the beautiful setting and wonderful staff at Baur au Lac. Vanessa and Marlana at the front desk were always welcoming and most attentive to our every need. We received complimentary chocolates, champagne and petit-fours which were most delicious. We enjoyed a gorgeous meal at Baur’s Brasserie, which successfully balances both a refined and relaxed atmosphere, under the expert leadership of manager Rachelle. Breakfasts at Baur au Lac are definitely the best way to start the day, with a great selection from buffet and a la carte (the French toast will live on in my dreams!) and welcoming smiles and great attention from Dagmara and Patricia. The location of Baur au Lac could not be more perfect – views of the lake while only a few"
"Baur au Lac",,"Strong Recommendation","Great location, awesome hotel, excellent service. Travelling a lot for business and to me the Baur au Lac is one of the best city hotels in Europe. Already looking forward to my next stay! Thanks and congrats to the whole BAL team!"
"Baur au Lac",,"Ultimate luxury","We throughly enjoyed our stay here. I know it was one of the largest sites that we stayed and find it expensive but it was ultimate luxury. Service, accommodation, location and food was great. We look forward to return in summer again. "
"Baur au Lac",,"Baur au Lac holiday","An incredible and fabulous vacation! One of the best days ever! We liked everything from the classic and authentic look of the hotel itself, the view of the canal from the room window, delicious and exquisite food to the wonderful festive atmosphere and friendly staff. We are already planning and looking forward to the next meeting!"
"Baur au Lac",,"Leave me be!","I feel caught in an Orwellian nightmare. I have reviewed this hotel five thousand times, never less than five stars and yet, and yet, I keep being asked to review it again. Please, sheathe your sword! Abate from these requests! What more can I add? The concierge recognised me? Of course he did! I am extremely attractive and charismatic though, occasionally, recognised as a younger Elton John who is not extremely attractive……."
"Baur au Lac",,"Great atmosphere of a truly unique hotel","Baur au Lac, after 3 years of visiting Zurich at least twice a year, has become our home away from home. Hard to say why, it is as simple as feeling treated naturally with true kindness and interest in our wellbeing."
"Baur au Lac",,"A good address","Very hospitable staff. The room was luxurious and the bedding was top quality. The room service is super fast with great quality. Air conditioning was not cooling and though I had a manager look at it, I had a very warm night's sleep!"
"Baur au Lac",,"Highly recommended","A very elegant experience. Despite a gap in communication on airport pickup, the staff capably mitigated the situation. Very comfortable bed with luxurious linen. The room service were Swiss accuracy and quality. A highly recommended hotel."
"Baur au Lac",,"Disappointed by HouseKeeping","I have stayed at the Baur Au Lac multiple times over the years. It had always been such a pleasure to be there because the service had been flawless in all respects. I just returned to the hotel for the first time since Covid and I am sad to say that the standards have slipped. While the team at the front of the house - drivers, concierge, front desk, restaurant staff - are still first rate, the housekeeping services have been a great disappointment. For every day during my stay (three days so far), I have had to ask for my mini bar to be replenished, and for soap and shampoo to be regularly replaced. In a hotel the caliber of the Baur Au Lac, I should not have to ask for these things to be done. Today, the third day of my stay, I called housekeeping at 8:15 am and requested"
"Baur au Lac",,"Spectacular stay","It’s a beautiful, historic hotel that overlooks Lake Zurich. The location is perfect because of its proximity to the old town. The rooms are spacious and beautiful. The sitting area on the ground floor and the breakfast room were both absolutely gorgeous. The staff were very courteous and helpful."
"Baur au Lac",,"The best in Zürich","It's always a huge pleasure to stay at Baur au lac. I live in Switzerland but sometimes spend a weekend at Baur au lac. I wanted to give special thanks to the outstanding service from the room service team on this particular trip. I had some special needs for my room and they were most accommodating!!! Thank you Lotfi, Lionel, Sirinapa, and all the team for your most attentive service!!! Everything else was great too!!! Thank you. The only thing that is challenging at Baur au lac is the wine list. It probably has the most inflated prices for wine of any hotel in Switzerland. For someone who enjoys good wine and prefer to drink water as opposed to mediocre wine, this can be very challenging. Thanks again for a lovely stay."
